,,,,,
Subject,Subject Desc,Course Number,Title,Academic Period Desc,CRN
,,20400,Human Origins,Fall 2024,11043
,,,Human Origins-Honors,Fall 2024,11043
,,20500,Human Cultural Diversity,Fall 2024,48884
,,,,,28382
,,,,,16099
,,,,,54468
,,,,,59240
,,21000,Technology And Culture,Fall 2024,15355
,,,,,27223
,,,,,18670
,,,Technology And Culture-Honors,Fall 2024,15355
,,21200,"Culture, Food & Health",Fall 2024,15393
,,,,,29551
,,,"Culture, Food & Health-Honors",Fall 2024,15393
,,23000,Gender Across Cultures,Fall 2024,36893
,,,,,28400
,,,Gender Across Cultures-Honors,Fall 2024,36893
,,23500,The Great Apes,Fall 2024,16169
,,30600,Quantitative Methods For Anthr,Fall 2024,28401
,,30700,Anthropological Theory,Fall 2024,29471
,,,Anthropological Theory-Honors,Fall 2024,29471
,,31000,Mortuary Practices,Fall 2024,28402
,,31300,Archaeology Of North America,Fall 2024,28406
,,33700,Human Diet,Fall 2024,27348
,,,Human Diet-Honors,Fall 2024,27348
,,34000,Global Health,Fall 2024,15396
,,,,,15397
,,,,,24763
,,34100,Culture & Personality,Fall 2024,27239
,,37900,Native American Cultures,Fall 2024,50866
,,38000,Using Anthropology In World,Fall 2024,28416
,,,Use Anthropol In World-Honors,Fall 2024,28416
,,38400,Designing For People,Fall 2024,19883
,,41001,Senior Capstone In Anthro,Fall 2024,15187
,,42500,Archaeo Method & Theory,Fall 2024,28421
,,51400,Anthrop Linguistics,Fall 2024,15191
,,53400,Human Osteology,Fall 2024,61631
,,60500,Semnr Ethnogr Analysis,Fall 2024,28422
ARAB,ARAB-Arabic,10100,Std Arabic Level I,Fall 2024,32259
,,,,,32260
,,20100,Std Arabic Level III,Fall 2024,67783
ASEC,ASEC-Agric Sciences Educ &Comm,10100,"Ag, Science And Social Issues",Fall 2024,21551
,,15200,Agri Communication Sem,Fall 2024,30096
,,24000,Sem Agricultural Educ,Fall 2024,30097
,,30100,Building Intercultural Partner,Fall 2024,11173
,,34000,Ag Ed Lab Practices,Fall 2024,17136
,,35500,Controversial Sci&Media Public,Fall 2024,16280
,,44000,Mthd Tch Agricultrl Ed,Fall 2024,30101
,,48000,Agr Com Capstone Sem,Fall 2024,30106
,,52000,Foundations Of AEEC,Fall 2024,31848
,,55100,Intrnl Engagement & Dev Strat,Fall 2024,23978
,,63000,Theories Of Learn & Developmt,Fall 2024,32972
ASL,ASL-American Sign Language,10100,American Sign Lang I,Fall 2024,24641
,,,,,24642
,,,,,31094
,,,,,31095
,,,,,33379
,,10200,American Sign Lang II,Fall 2024,25487
,,,,,31096
,,,,,31098
,,,,,31586
,,20100,American Sign Lang III,Fall 2024,26598
,,,,,26599
,,,American Sign Lang III-Honors,Fall 2024,26598
,,20200,American Sign Lang IV,Fall 2024,11114
,,,,,11115
,,,American Sign Lang IV-Honors,Fall 2024,11115
,,30100,American Sign Language V,Fall 2024,15009
